,Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue,Size,Color,Material,Warranty,Manufacturer,Rating,Shipping_Weight,Delivery_Time,Discount,Eco_Friendly,Shipping_Cost,Shipping_Company,Shipping_Type,Insurance,Return_Policy
5,2023-05-15,15,May,2023,47,Adults (35-64),F,Australia,New South Wales,Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,297,225,522,Large,Green,Carbon Fiber,3 Years,Manufacturer A,2,8.33,9,27,True,19.82,DHL,Next Day,Basic,60 Days
9,2023-02-22,22,February,2023,35,Adults (35-64),M,Australia,Victoria,Accessories,Bike Racks,Hitch Rack - 4-Bike,21,45,120,1046,945,1991,Extra Large,Blue,Carbon Fiber,2 Years,Manufacturer B,5,12.28,6,9,False,72.27,UPS,Standard,,No Return
24,2023-08-25,25,August,2023,49,Adults (35-64),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,221,135,356,Large,Red,Plastic,1 Year,Manufacturer B,1,8.24,4,19,False,48.33,GLS,Express,Premium,60 Days
28,2023-01-02,2,January,2023,48,Adults (35-64),F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,4,45,120,295,180,475,Large,Red,Carbon Fiber,2 Years,Manufacturer D,4,3.58,4,12,True,61.28,GLS,Next Day,Basic,30 Days
36,2023-11-11,11,November,2023,34,Young Adults (25-34),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,25,45,120,1845,1125,2970,Medium,Blue,Steel,1 Year,Manufacturer A,3,5.02,2,19,True,33.94,UPS,Same Day,,No Return
57,2023-12-31,31,December,2023,23,Youth (<25),M,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,508,315,823,Large,White,Aluminum,1 Year,Manufacturer D,2,10.04,2,11,False,23.62,Posti,Express,,30 Days
59,2023-09-17,17,September,2023,29,Young Adults (25-34),F,United Kingdom,England,Accessories,Bike Racks,Hitch Rack - 4-Bike,15,45,120,1053,675,1728,Large,White,Aluminum,3 Years,Manufacturer C,2,10.59,9,18,True,35.91,Posti,Same Day,Basic,7 Days
71,2023-03-04,4,March,2023,38,Adults (35-64),F,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,218,135,353,Small,Red,Aluminum,2 Years,Manufacturer C,5,7.67,4,18,True,23.88,FedEx,Standard,,30 Days
82,2023-03-26,26,March,2023,47,Adults (35-64),F,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,436,270,706,Medium,White,Steel,1 Year,Manufacturer C,5,11.3,4,11,False,36.44,GLS,Express,Premium,No Return
113,2023-12-06,6,December,2023,43,Adults (35-64),F,United States,Washington,Accessories,Bike Racks,Hitch Rack - 4-Bike,9,45,120,437,405,842,Large,Red,Carbon Fiber,2 Years,Manufacturer D,3,7.02,7,25,True,81.77,GLS,Next Day,Basic,7 Days
